group_id,label,orbital_period_days,eccentricity,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun
K2-378 b,1,2.060438,,0.402,,,0.036,,9.52,2.88,,,,4823.0,4.674,-0.206,0.732,0.923
K2-379 b,1,8.777247,,0.481,,,0.0266,,34.56,2.181,,,,4603.0,4.615,-0.045,0.751,0.856
K2-38 b,1,4.01593,0.197,,,,0.0133,88.36,10.13,1.54,0.04994,1266.0,426.0,5731.0,4.38,0.26,1.06,1.03
K2-38 c,1,10.56103,0.161,,,,0.02,87.68,19.3,2.29,0.09514,916.0,117.0,5731.0,4.38,0.26,1.06,1.03
K2-380 b,1,9.401312,,0.883,,,0.0189,,15.19,2.729,,,,5911.0,4.194,-0.049,1.32,0.993
K2-381 b,1,7.9389334,,0.505,,,0.0146,,31.05,1.075,,,,4473.0,4.653,-0.244,0.675,0.754
K2-381 c,1,16.034656,,0.338,,,0.0271,,39.39,2.0,,,,4473.0,4.653,-0.244,0.675,0.754
K2-381 d,1,26.803023,,0.497,,,0.0229,,59.43,1.689,,,,4473.0,4.653,-0.244,0.675,0.754
K2-382 b,1,21.700156,,0.346,,,0.0234,,40.81,2.072,,,,5452.0,4.585,-0.027,0.811,0.922
K2-383 b,1,1.865962,,0.268,,,0.0178,,7.77,1.564,,,,5129.0,4.655,0.187,0.804,1.061
K2-384 b,1,2.231527,,0.517,,,0.0284,,16.59,1.076,,,,3623.0,4.874,0.068,0.348,0.33
K2-384 c,1,4.194766,,0.446,,,0.0314,,24.63,1.191,,,,3623.0,4.874,0.068,0.348,0.33
K2-384 d,1,6.679582,,0.367,,,0.0367,,27.93,1.392,,,,3623.0,4.874,0.068,0.348,0.33
K2-384 e,1,9.715043,,0.471,,,0.0354,,38.39,1.345,,,,3623.0,4.874,0.068,0.348,0.33
K2-384 f,1,13.62749,,0.467,,,0.0585,,47.7,2.222,,,,3623.0,4.874,0.068,0.348,0.33
K2-385 b,1,2.380867,,0.361,,,0.0185,,10.07,1.539,,,,4844.0,4.64,-0.224,0.761,0.927
K2-386 b,1,7.473223,,0.246,,,0.0219,,16.23,2.32,,,,5749.0,4.424,0.074,0.97,0.911
K2-387 b,1,28.735327,,0.711,,,0.1146,,55.42,7.322,,,,3572.0,4.66,0.126,0.585,0.57
K2-388 b,1,6.33932,,,,,,,,3.9,,874.0,138.0,5310.0,4.42,0.24,0.91,0.93
K2-389 b,1,8.58289,,,,,,,,2.33,,932.0,179.0,5773.0,4.31,0.038,1.094,0.99
K2-389 c,1,20.851337,,0.399,,,0.0172,,28.9,2.04,,,,5782.0,4.273,-0.034,1.084,0.802
K2-39 b,1,4.60543,0.0,,,370.0,,80.39,3.41,6.27704,,,,4881.0,3.44,0.32,2.97,0.66
K2-390 b,1,3.312792,,0.893,,,0.0442,,5.51,4.662,,,,5558.0,4.368,-0.116,0.966,0.789
K2-391 b,1,4.622654,,0.434,,,0.0222,,11.92,1.371,,,,5543.0,4.973,-0.543,0.566,0.757
K2-392 b,1,15.398723,,0.711,,,0.016,,24.32,1.85,,,,5726.0,4.314,-0.238,1.058,0.841
