group_id,label,orbital_period_days,eccentricity,arg_periastron_deg,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun,stellar_age_gyr
EPIC 203771098.03,CANDIDATE,,,,,6.5448,0.3145,0.0551,,,7.51,,,,,,,1.249,,
EPIC 203784668.01,CANDIDATE,,,,,14.664,0.5701,0.231,,,,,,,3095.0,,,,,
EPIC 203867512.01,CANDIDATE,28.46762,,,,7.62,3.1445,0.1704,,29.86,37.0,,,,,,,1.97,,
EPIC 203914123.01,CANDIDATE,83830.0,,,0.49,,,0.149,,,12.0,,,,4000.0,,,0.74,,
EPIC 203925865.01,CANDIDATE,8.79689,,,,6.96,0.0527,0.0217,,8.7,4.85,,,,,,,2.047,,
EPIC 203929178.01,CANDIDATE,1.153886,,,,2.7696,,0.53,,,99.0,,,,6841.0,4.09,,1.8,,
EPIC 203942067.01,CANDIDATE,1.6398934,,,0.77,4.06,14.6,0.4392,,,33.0,,,,5175.0,,,0.79,,
EPIC 204057095.01,CANDIDATE,23.21037,,,,2.4408,0.4533,0.116,,37.6,15.3,,,,,,,1.207,,
EPIC 204124270.01,CANDIDATE,1.330023,,,,1.7352,0.2836,0.167,,3.37,44.0,,,,,,,2.4,,
EPIC 204128016.01,CANDIDATE,50.73641,,,,5.0328,0.3938,0.0701,,45.9,10.31,,,,,,,1.349,,
EPIC 204197636.01,CANDIDATE,46.1373,,,,6.936,0.1137,0.033,,47.6,2.6,,,,,,,0.723,,
EPIC 204276894.01,CANDIDATE,1.957,,,,,0.01,,,,,,,,3913.0,,,45.3731,,
EPIC 204308061.01,CANDIDATE,22.6398,,,,3.744,0.02,0.0135,,40.8,1.27,,,,,,,0.862,,
EPIC 204312847.01,CANDIDATE,24.193613,,,0.81,7.54,10.6,0.3778,,,30.7,,,,5457.0,,,0.87,,
EPIC 204322265.01,CANDIDATE,2.784496,,,,0.4656,0.585,0.075,,41.0,2.09,,,,,,,0.256,,
EPIC 204346718.01,CANDIDATE,0.64292573,,,,5.977,2.46,,,,,,,,2914.0,4.86227,,0.362033,0.348098,
EPIC 204489514.01,CANDIDATE,10.2236,,,,10.3992,,0.61,,,132.0,,,,6960.0,4.05,,2.04,,
EPIC 204529573.01,CANDIDATE,2.7518,,,,1.248,0.00992,0.00948,,14.5,0.669,,,,,,,0.647,,
EPIC 204546592.01,CANDIDATE,,,,,20.736,0.9753,0.15,,,133.0,,,,,,,8.12,,
EPIC 204576757.01,CANDIDATE,23.277669,,,0.64,4.75,19.8,0.4569,,,32.8,,,,4379.0,,,0.68,,
EPIC 204579445.01,CANDIDATE,24.6842,,,,4.968,0.0408,0.01951,,35.1,2.49,,,,,,,1.17,,
EPIC 204634789.01,CANDIDATE,2.2,,,0.74,,,0.088,,,8.4,,,,4800.0,,,0.87,,
EPIC 204649811.01,CANDIDATE,2.64594828,,,,2.688,1.124,,,,,,,,6634.0,3.98751,,1.98054,1.39,
EPIC 204658292.01,CANDIDATE,20.98296043,,,,2.961,0.338,,,,,,,,4822.0,4.59235,,0.739921,0.781,
EPIC 204676499.01,CANDIDATE,1.5271792,,,,2.298,0.192,,,,,,,,5359.0,4.49859,,0.899453,0.93,
EPIC 204750116.02,CANDIDATE,7.8392,,,,3.504,0.0158,0.01204,,14.9,1.46,,,,,,,1.115,,
EPIC 204763194.01,CANDIDATE,2.320937,,,,2.736,0.3298,0.125,,3.2,15.7,,,,,,,1.157,,
EPIC 204791347.01,CANDIDATE,1.94297,,,0.125,1.4,,0.054,,11.39,2.571,,,,3197.0,4.846,-0.105,0.436,0.486,
EPIC 204880394.01,CANDIDATE,0.2338108,,,,1.92,1.26,0.107,,1.238,,,,,,,,,,
EPIC 204884005.01,CANDIDATE,46.38363,,,,5.2368,0.1771,0.03871,,66.7,3.22,,,,,,,0.762,,
EPIC 204888276.01,CANDIDATE,16.56127,,,,4.368,0.109,0.034,,18.8,0.957,,,,,,,0.258,,
EPIC 204914585.01,CANDIDATE,18.3647,,,,5.856,0.0421,0.0196,,21.3,2.61,,,,,,,1.22,,
EPIC 204990932.01,CANDIDATE,21.9184,,,,2.904,0.133,0.0404,,38.0,3.18,,,,,,,0.72,,
EPIC 204991696.01,CANDIDATE,49.8558,,,,7.032,0.0539,0.02222,,49.6,3.29,,,,,,,1.359,,
EPIC 205029914.01,CANDIDATE,4.9815,,,,3.828,0.05902,0.02384,,8.6,2.39,,,,,,,0.92,,
EPIC 205040048.01,CANDIDATE,3.30524,,,,1.08,0.121,0.0341,,20.3,6.6,,,,,,,1.79,,
EPIC 205047565.01,CANDIDATE,14.5444413,,,,2.783,0.268,,,,,,,,,,,,,
EPIC 205050711.01,CANDIDATE,4.30221683,,,,7.536,2.613,,,,,,,,7168.62,3.42072,,4.08069,1.6,
EPIC 205084841.01,CANDIDATE,11.31028,,,,4.44,1.773,0.1203,,21.36,18.9,,,,,,,1.44,,
EPIC 205145448.01,CANDIDATE,16.63091654,,,,2.255,4.087,,,,,,,,5121.0,4.16342,,1.27372,0.862,
EPIC 205146011.01,CANDIDATE,1.057171,,,,1.4712,0.0204,0.0137,,4.88,1.51,,,,,,,1.004,,
EPIC 205152172.01,CANDIDATE,0.980294,,,,1.116,0.0655,0.0242,,6.0,1.81,,,,,,,0.685,,
EPIC 205170731.01,CANDIDATE,14.2005,,,,3.72,0.0856,0.0276,,26.3,2.36,,,,,,,0.786,,
EPIC 205205452.01,CANDIDATE,28.8077,,,,2.184,0.853,0.0886,,97.0,2.08,,,,,,,0.215,,
EPIC 205224877.01,CANDIDATE,3.75927,,,,1.608,0.361,0.0581,,16.2,68.0,,,,,,,10.7,,
EPIC 205242733.01,CANDIDATE,2.41628,,,,2.496,0.0704,0.0243,,6.83,2.68,,,,,,,1.01,,
EPIC 205252523.01,CANDIDATE,4.4984354,,,0.65,1.68,0.185,0.04131,,,3.12,,,,4309.0,,,0.66,,
EPIC 205377483.01,CANDIDATE,0.3938505,,,,1.3128,0.0488,0.058,,1.257,13.7,,,,,,,2.16,,
EPIC 205463986.01,CANDIDATE,2.3240489,,,0.79,4.04,15.4,0.4699,,,33.4,,,,5107.0,,,0.78,,
EPIC 205470347.01,CANDIDATE,1.86732,,,,1.656,0.00794,0.00857,,7.4,0.648,,,,,,,0.693,,
EPIC 205483055.01,CANDIDATE,22.9735,,,,3.384,0.0541,0.0224,,46.7,2.61,,,,,,,1.067,,
