group_id,orbital_period_days,eccentricity,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun
9084778,0.592243731,0.0,0.986,1.386,3992.4,0.104857,59.16,1.9239,6.77,0.0116,1551.0,1361.22,4920.0,4.664,-0.96,0.591,0.588
7747103,399.37587,0.0,0.556,21.25,552.2,0.022256,89.74,123.2,3.93,1.1026,326.0,2.66,6098.0,4.069,-0.06,1.618,1.119
10674871,41.88970036,0.0,1.285,1.35,1304.4,0.324673,89.04,76.3,32.16,0.2355,515.0,16.66,5952.0,4.519,-0.18,0.907,0.989
11518201,1.236866732,0.0,0.982,1.242,187.2,0.018187,64.35,2.27,1.75,0.0219,1569.0,1439.3,5621.0,4.514,-0.06,0.879,0.921
9758032,1.332035996,0.0,0.137,1.391,136.8,0.010635,88.93,7.348,0.85,0.022,1365.0,823.09,5376.0,4.616,-0.34,0.73,0.811
6974658,0.716531851,0.0,0.887,0.655,78.9,0.009893,77.61,4.14,1.11,0.0149,2034.0,4063.57,5552.0,4.349,-0.06,1.03,0.863
9634821,5.47715718,0.0,0.244,1.3849,568.4,0.021373,89.53,29.97,2.17,0.0576,892.0,149.23,5029.0,4.429,0.48,0.93,0.847
9602613,7.57299816,0.0,0.411,2.645,30.2,0.005049,88.83,20.07,0.53,0.0738,875.0,138.36,5495.0,4.442,0.16,0.961,0.932
10904004,4.64490141,0.0,0.058,2.456,106.4,0.009096,89.77,14.57,0.76,0.0495,832.0,113.62,4786.0,4.54,0.12,0.77,0.751
9605552,9.3210841,0.0,0.0815,1.81,294.2,0.015846,89.95,39.84,0.61,0.0626,394.0,5.67,3773.0,4.925,-0.8,0.35,0.376
2715695,7.55842923,0.0,0.619,2.91,361.1,0.018044,87.79,16.06,1.46,0.0688,694.0,54.85,4791.0,4.577,0.07,0.742,0.759
5283728,43.681309,0.0,0.257,12.37,258.0,0.014709,89.44,26.5,1.33,0.2361,473.0,11.86,5726.0,4.564,-0.22,0.829,0.923
5374838,230.180357,0.0,0.102,13.436,3689.3,0.055626,89.96,137.52,7.57,0.8046,347.0,3.41,6313.0,4.364,0.36,1.246,1.31
6366559,55.7583803,0.0,0.01,2.497,132.7,0.010351,90.0,172.4,1.59,0.2778,537.0,19.6,5413.0,4.107,0.1,1.403,0.918
6367663,3.781123,0.0,0.004,8.15,90.4,0.008771,89.93,3.624,1.16,0.0468,1421.0,962.72,6318.0,4.247,-0.52,1.216,0.951
6368905,220.720142,0.0,0.113,8.186,862.5,0.026362,89.97,210.1,2.0,0.6529,235.0,0.72,5150.0,4.634,-0.34,0.696,0.77
6372194,281.5921577,0.0,0.641,5.673,9312.0,0.092678,89.89,335.0,7.22,0.7763,225.0,0.61,5330.0,4.627,-0.38,0.713,0.797
6387557,103.722152,0.0,0.017,6.061,296.9,0.015615,89.99,132.8,1.95,0.435,414.0,6.92,5784.0,4.33,0.14,1.143,1.019
5294945,32.5474295,0.0,0.709,6.945,157.1,0.012273,88.43,25.9,1.42,0.1992,618.0,34.42,6068.0,4.384,-0.18,1.061,0.995
3968809,411.8969,0.0,0.4026,6.203,502.8,0.020929,89.95,476.0,2.61,1.1588,279.0,1.43,6362.0,4.408,0.07,1.144,1.221
3974928,127.671711,0.0,0.2999,2.637,450.1,0.019212,89.95,360.0,5.52,0.473,519.0,17.13,4985.0,3.534,-0.32,2.633,0.865
4063943,115.23145073,,,2.01,,,,,,,,,,,,,
4071638,349.58811,0.0,0.1899,5.052,373.3,0.016609,89.95,528.0,134.79,1.1802,1351.0,787.87,3860.0,0.949,-0.16,74.32,1.792
5390913,1.680254289,0.0,0.7314,12.585,51633.0,0.226926,49.27,1.1242,30.88,0.0251,1996.0,3753.6,6423.0,4.121,-1.72,1.246,0.747
5394585,151.13008,0.0,0.0529,3.49,358.0,0.017538,89.95,336.0,4.41,0.614,578.0,26.4,6768.0,3.844,-0.38,2.302,1.349
5425643,258.63797782,,,7.11,,,,,,,,,,,,,
5428199,628.15844,0.0,0.2733,12.144,502.3,0.020507,89.95,388.5,0.95,1.0926,101.0,0.03,3697.0,4.829,-0.3,0.423,0.441
6425377,263.90141,0.0,0.9585,4.303,807.1,0.035056,89.95,183.1,23.91,0.9983,562.0,23.6,5094.0,3.126,-0.1,6.247,1.902
6442735,18.7821603,0.0,0.1986,5.573,77.2,0.008047,89.38,25.4505,0.83,0.138,681.0,50.97,5919.0,4.488,-0.12,0.94,0.991
