deploy_id,model_name,profile,threshold,dataset,feature,importance_mean,importance_std,n_repeats,scoring,importance_rank
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test,planet_radius_rearth,0.16574810312569993,0.011480240551429466,20,f2,2
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test,transit_depth,0.13893450044872,0.01878296425687972,20,f2,3
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test,orbital_period_days,0.10380884168159772,0.011731613907212595,20,f2,4
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test,stellar_metallicity_dex,0.10352862778609404,0.010036345903558494,20,f2,5
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test,transit_duration_hours,0.0844435244802707,0.007784913004096123,20,f2,6
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test,stellar_teff_k,0.08310537243560745,0.013255733954765979,20,f2,7
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test,stellar_logg_cgs,0.08099022914074314,0.013182633805987488,20,f2,8
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test,insolation_earth,0.07735971532488264,0.00895880152095804,20,f2,9
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test,inclination_deg,0.04680189771639636,0.010419754386529268,20,f2,10
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test,impact_parameter,0.040010510602454884,0.013614786091184532,20,f2,11
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test_plus_K2P,a_over_rs,0.13146316337583072,0.012926790206880043,20,f2,1
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test_plus_K2P,transit_depth,0.08662182580533002,0.008606393839183376,20,f2,2
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test_plus_K2P,planet_radius_rearth,0.08465944196078463,0.009737867338516112,20,f2,3
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test_plus_K2P,orbital_period_days,0.07112351001772983,0.0051440680593464305,20,f2,4
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test_plus_K2P,stellar_logg_cgs,0.06863102068220696,0.0067436867454324124,20,f2,5
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test_plus_K2P,stellar_metallicity_dex,0.06826957137972595,0.008002311881805134,20,f2,6
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test_plus_K2P,stellar_teff_k,0.06617185638737369,0.005705576435528892,20,f2,7
