kepid,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2
10483644,FALSE POSITIVE,5.110771787,9.4e-07,-9.4e-07,0.0,,,,,,0.878,0.214,-0.033,2.48392,0.00863,-0.00863,50681.0,156.0,-156.0,0.276346,0.153837,-0.019586,86.55,,,14.6,2.7,-2.7,26.98,8.33,-2.78,0.0576,,,1048.0,,,284.85,257.97,-81.92,6029.0,163.0,-181.0,4.523,0.052,-0.208,-0.3,0.3,-0.3,0.894,0.276,-0.092,0.972,0.12,-0.12,,,
6607447,CANDIDATE,99.6442783,0.0001073,-0.0001073,0.0,,,,,,0.966,0.029,-0.018,5.1772,0.0643,-0.0643,3215.6,29.6,-29.6,0.076417,0.016219,-0.012118,89.21,,,69.73,5.1,-5.1,8.48,1.27,-0.55,0.4283,,,415.0,,,6.98,2.77,-1.23,6102.0,82.0,-91.0,4.447,0.04,-0.12,-0.08,0.15,-0.15,1.016,0.153,-0.066,1.049,0.07,-0.07,,,
5542983,FALSE POSITIVE,4.76887671,1.934e-05,-1.934e-05,0.0,,,,,,0.654,0.027,-0.493,1.672,0.115,-0.115,115.8,7.3,-7.3,0.01042,0.002499,-0.000534,87.77,,,16.81,6.5,-6.5,2.11,0.39,-0.67,0.0565,,,1532.0,,,1303.61,733.42,-759.98,6063.0,163.0,-163.0,3.926,0.308,-0.103,-0.36,0.35,-0.25,1.855,0.344,-0.59,1.058,0.176,-0.176,,,
9992325,CONFIRMED,24.08632177,9.922e-05,-9.922e-05,0.0,,,,,,0.802,0.152,-0.59,2.236,0.117,-0.117,1041.7,69.1,-69.1,0.033194,0.011009,-0.004357,89.14,,,53.6,26.2,-26.2,2.78,0.26,-0.28,0.1478,,,500.0,,,14.78,5.57,-4.35,4973.0,181.0,-161.0,4.537,0.071,-0.052,-0.08,0.3,-0.3,0.768,0.071,-0.079,0.741,0.095,-0.055,,,
1717528,FALSE POSITIVE,9.31392071,6.918e-05,-6.918e-05,0.0,,,,,,0.1287,0.3959,-0.1286,0.971,0.24,-0.24,163.7,40.4,-40.4,0.011805,0.003263,-0.000895,89.95,,,73.5,34.3,-34.3,1.25,0.53,-0.11,0.0882,,,884.0,,,144.19,176.89,-39.76,6032.0,153.0,-194.0,4.485,0.044,-0.044,-0.06,0.2,-0.3,0.973,0.408,-0.089,1.055,0.18,-0.136,,,
8703506,FALSE POSITIVE,352.710091,0.00774,-0.00774,0.0,,,,,,0.329,0.133,-0.329,2.901,0.364,-0.364,1658.0,212.0,-212.0,0.037835,0.002064,-0.004066,89.98,,,914.0,309.0,-309.0,3.75,1.19,-0.4,0.971,,,261.0,,,1.09,1.05,-0.34,6112.0,192.0,-234.0,4.513,0.052,-0.221,-0.34,0.3,-0.3,0.908,0.287,-0.096,0.981,0.128,-0.128,,,
9970525,FALSE POSITIVE,30.00908916,,,,,,,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5954001,CANDIDATE,11.6933447,0.0002027,-0.0002027,0.0,,,,,,0.353,0.091,-0.353,6.551,0.473,-0.473,66.9,6.5,-6.5,0.007556,0.000491,-0.000347,88.43,,,12.88,5.2,-5.2,1.12,0.2,-0.17,0.1067,,,950.0,,,192.95,91.31,-62.09,6049.0,72.0,-90.0,4.248,0.125,-0.125,0.18,0.15,-0.15,1.354,0.251,-0.205,1.189,0.081,-0.097,,,
8156120,CONFIRMED,38.5833679,0.0003134,-0.0003134,0.0,,,,,,0.905,0.032,-0.072,12.391,0.639,-0.639,1388.2,36.3,-36.3,0.040669,0.000804,-0.002809,85.76,,,12.24,5.2,-5.2,8.56,1.57,-1.92,0.2551,,,761.0,,,79.08,39.82,-35.14,6273.0,113.0,-126.0,4.04,0.174,-0.116,0.44,0.05,-0.15,1.927,0.353,-0.431,1.486,0.126,-0.154,,,
9644411,FALSE POSITIVE,0.379412331,3.003e-06,-3.003e-06,0.0,,,,,,0.243,0.216,-0.243,1.561,0.108,-0.108,594.0,38.4,-38.4,0.021795,0.001314,-0.000805,82.85,,,1.95,0.487,-0.487,1.59,0.09,-0.14,0.009,,,1643.0,,,1724.34,504.35,-483.07,4331.0,151.0,-166.0,4.62,0.042,-0.025,0.07,0.25,-0.3,0.666,0.041,-0.055,0.675,0.051,-0.062,,,
