group_id,label,orbital_period_days,eccentricity,impact_parameter,transit_duration_hours,transit_depth_ppm,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun
6587280,1,5.715425977,0.0,0.348,2.5242,908.1,0.027348,88.81,16.74,2.47,0.0611,850.0,123.03,5237.0,4.572,0.24,0.826,0.927
9471974,1,49.18394185,0.0,0.035,11.3364,1646.2,0.036501,89.94,34.34,8.2,0.2829,669.0,47.4,5626.0,3.907,0.36,2.057,1.247
6587280,1,20.0261412,0.0,0.957,1.611,421.2,0.025305,88.43,34.9,2.28,0.1409,559.0,23.14,5237.0,4.572,0.24,0.826,0.927
6675056,0,10.44331991,0.0,0.23,2.743,1159.8,0.030416,89.55,29.22,2.66,0.0857,667.0,46.94,4947.0,4.516,0.08,0.802,0.769
6685526,1,2.237489571,0.0,0.128,1.8119,315.8,0.015942,89.23,9.527,1.41,0.0325,1160.0,427.17,5265.0,4.58,0.14,0.81,0.91
6784235,1,3.167893418,0.0,0.026,2.1814,781.2,0.025513,89.87,11.389,2.62,0.0426,1221.0,526.23,5895.0,4.503,-0.02,0.94,1.026
6849310,1,4.311780262,0.0,0.196,2.7251,1154.0,0.030716,89.08,12.25,3.11,0.0511,1038.0,274.84,5527.0,4.484,0.16,0.927,0.956
6849310,1,20.0504494,0.0,0.383,4.556,840.9,0.026569,89.31,32.0,2.69,0.1423,622.0,35.44,5527.0,4.484,0.16,0.927,0.956
6849310,1,9.76734503,0.0,0.9,1.6585,569.1,0.026407,87.68,22.2,2.67,0.0881,791.0,92.46,5527.0,4.484,0.16,0.927,0.956
9471974,1,190.3200468,0.0,0.812,15.284,1141.7,0.034654,89.24,61.0,7.78,0.6972,426.0,7.8,5626.0,3.907,0.36,2.057,1.247
6862603,0,2.861159894,0.0,0.965,1.8832,1014.3,0.039171,77.84,4.58,4.37,0.0406,1355.0,797.1,6126.0,4.458,-0.04,1.021,1.09
7366258,1,26.44439337,0.0,0.03,3.9783,1843.5,0.038511,89.97,52.72,3.91,0.1687,562.0,23.54,5427.0,4.463,0.16,0.929,0.915
7366258,1,51.53997972,0.0,0.183,6.3994,3644.3,0.05435,89.84,63.88,5.51,0.2632,450.0,9.67,5427.0,4.463,0.16,0.929,0.915
7366258,1,5.902245782,0.0,0.209,2.9003,702.3,0.023909,89.23,15.59,2.43,0.0621,926.0,173.74,5427.0,4.463,0.16,0.929,0.915
7366258,1,2.382951591,0.0,0.479,1.8876,391.6,0.018369,86.85,8.7,1.86,0.0339,1253.0,583.01,5427.0,4.463,0.16,0.929,0.915
7373451,1,21.02250608,0.0,0.036,4.1072,1772.5,0.037466,89.95,40.546,3.07,0.1378,521.0,17.48,5067.0,4.585,-0.08,0.75,0.789
6948054,1,3.219814777,0.0,0.06,2.0642,488.2,0.019702,89.72,12.14,1.69,0.04,998.0,234.93,5103.0,4.562,0.04,0.787,0.823
6949607,1,5.912273234,0.0,0.17,2.3254,961.4,0.027826,89.51,19.7,1.73,0.0537,585.0,27.72,4072.0,4.696,-0.18,0.57,0.586
6949607,1,8.98581901,0.0,0.008,2.8606,881.3,0.026527,89.98,24.64,1.65,0.0709,509.0,15.9,4072.0,4.696,-0.18,0.57,0.586
11869052,0,20.5452375,0.0,0.95,2.517,218.5,0.017424,87.6,22.7,2.41,0.1437,742.0,71.57,5670.0,4.206,0.0,1.264,0.937
7109675,1,33.60123371,0.0,0.67,4.4056,7425.9,0.083298,89.23,49.6,8.46,0.1956,495.0,14.22,5149.0,4.447,0.42,0.93,0.882
7109675,1,6.76652928,0.0,0.429,2.9004,450.7,0.019382,88.51,16.49,1.97,0.0672,845.0,120.48,5149.0,4.447,0.42,0.93,0.882
7118364,1,4.347288783,0.0,0.025,2.1024,451.6,0.019273,89.91,16.107,2.36,0.0524,1174.0,449.79,5754.0,4.345,0.16,1.122,1.014
7134976,1,4.601811819,0.0,0.567,2.2607,755.9,0.02579,87.56,13.32,2.35,0.0501,896.0,152.91,4986.0,4.496,0.16,0.833,0.793
7134976,1,11.18719905,0.0,0.387,3.252,353.6,0.017042,89.1,24.72,1.55,0.0907,667.0,46.65,4986.0,4.496,0.16,0.833,0.793
7135852,1,4.220965778,0.0,0.705,3.0854,2260.0,0.046401,85.03,8.13,2.62,0.0418,595.0,29.68,3837.0,4.747,-0.06,0.517,0.544
7270230,0,6.998099523,0.0,7.361,2.0488,20285.0,6.502574,79.0,38.6,588.66,0.0698,853.0,125.22,5612.0,4.566,-0.12,0.829,0.926
7287995,1,5.95489993,0.0,0.327,2.3892,1410.7,0.033728,89.0,18.69,2.33,0.0554,635.0,38.52,4261.0,4.641,-0.06,0.633,0.64
7287995,1,12.03987488,0.0,0.286,2.7363,1250.6,0.031605,89.51,33.32,2.18,0.0886,502.0,15.06,4261.0,4.641,-0.06,0.633,0.64
7287995,1,20.83762895,0.0,0.706,2.3734,439.0,0.020532,89.18,49.4,1.42,0.1278,418.0,7.24,4261.0,4.641,-0.06,0.633,0.64
3247396,0,8.8111022,0.0,1.223,5.0683,401.1,0.242511,67.15,3.15,63.66,0.0919,1399.0,904.92,6200.0,3.8,-0.12,2.404,1.333
7303253,1,23.58917143,0.0,0.926,5.073,1200.7,0.040151,86.86,16.88,3.16,0.1429,487.0,13.34,4919.0,4.566,-0.24,0.721,0.697
5094751,1,6.481633073,0.0,0.833,3.784,298.5,0.017836,83.8,7.71,2.54,0.0683,1145.0,406.25,5945.0,4.213,-0.08,1.302,1.009
7678434,1,10.37168928,0.0,0.537,3.035,1254.9,0.033023,88.66,23.0,3.2,0.0873,720.0,63.68,5121.0,4.457,0.18,0.888,0.822
7678434,1,3.96996298,0.0,0.836,1.1757,299.2,0.018305,86.81,15.04,1.78,0.046,992.0,229.37,5121.0,4.457,0.18,0.888,0.822
7685981,1,4.40841331,0.0,0.899,5.012,549.4,0.025379,74.9,3.45,2.66,0.052,1139.0,398.0,6007.0,4.457,-0.24,0.961,0.968
7708215,0,7.9426176,0.0,0.942,6.703,1590.7,0.046289,77.16,4.238,4.68,0.0789,878.0,140.57,5811.0,4.521,0.07,0.926,1.036
7373451,1,226.8904775,0.0,0.731,7.558,3136.4,0.055361,89.76,174.7,4.53,0.6732,236.0,0.73,5067.0,4.585,-0.08,0.75,0.789
7377033,0,1.956811408,0.0,1.091,2.1958,24905.0,0.327759,78.08,5.28,21.58,0.0259,1109.0,357.16,5209.0,4.657,-1.24,0.603,0.602
